trade_date,open,high,low,close,vol
20250328,34.01,35.04,32.32,32.52,209391861.0
20250321,36.26,37.19,34.0,34.12,326080229.0
20250314,33.47,36.0,32.9,35.77,339069586.0
20250307,34.8,34.88,31.38,33.36,384148353.0
20250228,42.0,42.0,34.29,35.07,441489709.0
20250221,38.7,43.37,38.67,42.49,303825712.0
20250214,39.2,40.0,38.01,38.78,281867697.0
20250207,40.75,40.98,36.81,39.1,263654322.0
20250127,42.7,42.85,41.5,41.59,52200149.0
20250124,40.01,46.15,40.0,44.67,260048561.0
20250117,40.9,42.2,38.54,39.72,244964597.0
20250110,39.39,44.19,38.88,42.0,233526156.0
20250103,40.8,41.85,38.1,39.0,166131285.0
20241227,39.08,41.97,38.02,41.02,210995105.0
20241220,37.98,39.7,36.93,39.07,256532127.0
20241213,38.57,38.88,36.03,37.9,264184691.0
20241206,37.99,39.2,37.22,38.53,140815608.0
20241129,36.64,38.0,35.25,37.32,180825875.0
20241122,38.99,39.68,36.64,36.64,162893045.0
20241115,40.11,42.5,38.77,38.99,286779981.0
20241108,39.41,41.92,39.35,40.31,235158929.0
20241101,43.97,44.03,39.42,39.42,278110856.0
20241025,43.98,45.58,41.15,44.28,253898775.0
20241018,41.84,44.33,39.26,43.13,249546579.0
20241011,44.18,46.86,39.3,41.84,306053725.0
20240930,37.25,40.17,36.32,40.16,92970967.0
20240927,32.07,37.1,31.71,36.52,271118537.0
20240920,33.45,34.03,32.0,32.15,94881601.0
20240913,30.09,34.15,29.66,33.97,205380642.0
20240906,34.1,34.38,30.61,30.7,255208393.0
20240830,33.59,33.75,29.86,32.51,171735549.0
20240823,33.6,34.34,32.62,33.42,136311761.0
20240816,32.11,34.39,32.03,33.74,171099472.0
20240809,30.57,33.0,30.01,32.41,214624486.0
20240802,33.45,35.32,31.73,31.91,229736135.0
20240726,35.02,36.8,32.5,33.52,198469200.0
20240719,39.0,40.0,34.43,35.3,269288476.0
20240712,37.69,41.96,37.4,40.25,202394852.0
20240705,36.12,38.24,35.73,38.1,150789083.0
20240628,36.9,38.09,35.33,36.5,171537968.0
20240621,37.5,39.28,36.4,37.1,192913868.0
20240614,32.68,37.86,32.31,37.06,200857710.0
20240607,31.3,35.1,31.3,32.75,242363173.0
20240531,31.49,32.28,30.46,31.25,141588385.0
20240524,31.8,33.33,31.11,31.24,174397044.0
20240517,31.51,33.48,31.1,32.41,205662103.0
20240510,34.2,34.39,30.91,31.39,198863764.0
20240430,33.43,34.66,33.0,33.5,99158522.0
20240426,27.8,33.89,26.97,33.16,295837507.0
20240419,29.91,31.46,29.36,29.97,239260017.0
20240412,29.3,31.3,28.7,30.24,220115380.0
20240403,30.2,32.1,29.4,29.62,173276011.0
20240329,31.5,32.61,29.39,30.18,377730853.0
20240322,31.42,34.32,31.27,31.84,256319756.0
20240315,30.6,31.84,28.77,31.4,402262588.0
20240308,27.6,31.74,27.3,31.74,329892786.0
20240301,24.82,27.49,24.6,27.25,295974507.0
20240223,25.59,27.49,24.43,25.32,439654712.0
20240208,20.4,25.73,19.98,24.99,232058450.0
20240202,21.6,21.6,19.24,20.59,198764711.0
20240126,23.05,23.64,21.57,21.71,178764576.0
20240119,20.02,23.41,20.0,22.62,154243027.0
20240112,20.5,21.39,19.95,20.15,110177028.0
20240105,22.1,22.36,20.43,20.55,78677480.0
20231229,21.19,22.6,21.18,22.12,152015504.0
20231222,21.4,22.08,21.08,21.31,85773889.0
20231215,21.9,22.8,21.38,21.54,116307847.0
20231208,21.15,23.0,19.91,22.42,148920542.0
20231201,20.09,21.21,20.04,21.02,88753574.0
20231124,21.0,21.44,20.0,20.09,104792381.0
20231117,21.71,22.5,20.77,21.26,154967461.0
20231110,20.1,22.5,19.95,21.52,221032377.0
20231103,19.52,20.21,19.14,19.93,207326430.0
20231027,19.58,20.83,18.8,19.52,207627538.0
20231020,21.74,21.93,19.0,19.59,208872926.0
20231013,22.52,22.8,21.7,21.88,189808693.0
20230928,22.0,23.47,21.89,22.51,298568773.0
20230922,18.77,21.9,18.42,21.9,340840930.0
20230915,19.6,20.65,18.72,18.87,184333954.0
20230908,20.9,21.48,19.35,19.6,198017550.0
20230901,20.68,21.85,19.81,20.81,226679234.0
20230825,20.33,22.66,19.4,19.57,315250246.0
20230818,20.54,22.35,19.9,20.42,259898328.0
20230811,22.95,24.01,20.59,21.27,273991108.0
20230804,22.0,23.26,21.1,22.98,367887806.0
20230728,22.65,25.22,21.78,22.0,434996154.0
20230721,25.57,25.96,22.09,22.64,355746312.0
20230714,23.09,25.6,21.11,25.21,464228684.0
20230707,21.85,24.96,21.24,22.9,652793957.0
20230630,21.06,21.28,18.45,20.94,375482280.0
20230621,22.3,23.45,21.58,21.59,286403282.0
20230616,22.6,23.82,21.4,22.5,562842053.0
20230609,20.47,21.81,19.44,21.81,445865031.0
20230602,20.36,22.2,16.93,20.42,802922337.0
20230526,19.0,20.33,17.34,19.92,421042646.0
20230519,20.02,20.95,18.09,19.22,523756961.0
20230512,20.16,23.07,19.8,19.96,358637110.0
20230505,21.75,22.22,19.62,20.25,158698262.0
20230428,24.55,25.5,21.45,21.93,405820019.0
20230421,22.23,26.5,21.5,24.51,539887834.0
20230414,24.33,26.33,21.55,22.29,481679063.0
20230407,21.37,26.0,21.06,25.11,608131458.0
20230331,21.23,22.95,20.3,21.49,573292738.0
20230324,15.41,21.75,15.41,21.6,616542615.0
20230317,15.38,15.76,14.96,15.49,115966821.0
20230310,16.07,16.25,15.01,15.5,173800628.0
20230303,15.61,17.18,15.4,16.09,220127504.0
20230224,15.26,16.17,15.23,15.61,195738876.0
20230217,15.45,16.84,15.13,15.26,350831023.0
20230210,14.0,16.25,13.68,15.5,351719078.0
20230203,12.89,14.55,12.6,14.1,255608994.0
20230120,12.26,12.82,12.19,12.73,86495753.0
20230113,12.4,12.66,12.15,12.27,84291576.0
20230106,11.88,12.84,11.81,12.43,107483895.0
20221230,11.55,12.05,11.53,11.9,69474273.0
20221223,12.26,12.3,11.47,11.6,70084390.0
20221216,12.2,13.1,12.08,12.24,165001129.0
20221209,12.48,12.6,11.97,12.25,111757048.0
20221202,12.31,12.98,12.21,12.48,95563060.0
