stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
002475.SZ,,highest_peak,20201009,61.44,20240409,18.432,2025-03-26 00:44:05
000538.SZ,,highest_peak,20210210,160.8,20240810,48.24,2025-03-26 00:42:10
002230.SZ,,highest_peak,20230621,77.6,20261221,23.279999999999998,2025-03-26 00:45:44
300750.SZ,,highest_peak,20211203,687.0,20250603,206.1,2025-03-26 00:42:40
300628.SZ,,highest_peak,20170428,354.52,20201028,106.356,2025-03-26 00:46:22
603501.SH,,highest_peak,20210709,329.15,20250109,98.74499999999999,2025-03-26 00:43:10
601699.SH,,highest_peak,20120504,29.09,20151104,8.727,2025-03-26 00:47:29
601689.SH,,highest_peak,20220729,91.92,20260129,27.576,2025-03-26 00:41:37
002252.SZ,,highest_peak,20150807,88.99,20190207,26.697,2025-03-26 00:49:19
600011.SH,,highest_peak,20150612,12.74,20181212,3.822,2025-03-26 00:51:21
601236.SH,,highest_peak,20200306,24.71,20230906,7.413,2025-03-26 00:47:46
600377.SH,,highest_peak,20200123,11.43,20230723,3.429,2025-03-26 00:47:57
000661.SZ,,highest_peak,20200605,680.39,20231205,204.117,2025-03-26 00:50:17
002001.SZ,,highest_peak,20180112,43.77,20210712,13.131,2025-03-26 00:48:58
002179.SZ,,highest_peak,20211203,103.33,20250603,30.999,2025-03-26 00:42:16
603799.SH,,highest_peak,20211203,138.9,20250603,41.67,2025-03-26 00:42:20
600795.SH,,highest_peak,20150612,7.19,20181212,2.157,2025-03-26 00:49:45
600438.SH,,highest_peak,20220708,63.73,20260108,19.119,2025-03-26 00:40:11
600600.SH,,highest_peak,20230407,122.1,20261007,36.629999999999995,2025-03-26 00:47:02
001979.SZ,,highest_peak,20180202,26.87,20210802,8.061,2025-03-26 00:49:47
300782.SZ,,highest_peak,20210423,739.31,20241023,221.79299999999998,2025-03-26 00:50:58
000625.SZ,,highest_peak,20210625,26.44,20241225,7.932,2025-03-26 00:41:00
002027.SZ,,highest_peak,20151120,56.67,20190520,17.001,2025-03-26 00:40:55
300759.SZ,,highest_peak,20210917,221.01,20250317,66.303,2025-03-26 00:51:39
000002.SZ,,highest_peak,20180126,40.04,20210726,12.011999999999999,2025-03-26 00:42:03
000786.SZ,,highest_peak,20210210,55.47,20240810,16.641,2025-03-26 00:51:28
601166.SH,,highest_peak,20210219,26.75,20240819,8.025,2025-03-26 00:43:48
600027.SH,,highest_peak,20150626,10.31,20181226,3.093,2025-03-26 00:48:10
