stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
002475.SZ,,latest_peak,20210210,52.78,20240810,15.834,2025-03-26 00:44:06
000538.SZ,,latest_peak,20210210,160.8,20240810,48.24,2025-03-26 00:42:11
002230.SZ,,latest_peak,20230621,77.6,20261221,23.279999999999998,2025-03-26 00:45:45
300750.SZ,,latest_peak,20220128,592.6,20250728,177.78,2025-03-26 00:42:41
300628.SZ,,latest_peak,20170908,313.5,20210308,94.05,2025-03-26 00:46:24
603501.SH,,latest_peak,20211231,310.77,20250630,93.231,2025-03-26 00:43:11
601699.SH,,latest_peak,20120504,29.09,20151104,8.727,2025-03-26 00:47:30
601689.SH,,latest_peak,20230630,80.7,20261230,24.21,2025-03-26 00:41:38
002252.SZ,,latest_peak,20150911,86.4,20190311,25.92,2025-03-26 00:49:20
600011.SH,,latest_peak,20150710,12.17,20190110,3.651,2025-03-26 00:51:22
601236.SH,,latest_peak,20200821,22.18,20240221,6.654,2025-03-26 00:47:47
600377.SH,,latest_peak,20231208,10.47,20270608,3.141,2025-03-26 00:47:58
000661.SZ,,latest_peak,20200605,680.39,20231205,204.117,2025-03-26 00:50:18
002001.SZ,,latest_peak,20210514,40.2,20241114,12.06,2025-03-26 00:48:59
002179.SZ,,latest_peak,20220610,89.23,20251210,26.769000000000002,2025-03-26 00:42:17
603799.SH,,latest_peak,20220225,120.2,20250825,36.06,2025-03-26 00:42:22
600795.SH,,latest_peak,20150612,7.19,20181212,2.157,2025-03-26 00:49:46
600438.SH,,latest_peak,20220819,59.96,20260219,17.988,2025-03-26 00:40:12
600600.SH,,latest_peak,20230616,105.92,20261216,31.776,2025-03-26 00:47:04
001979.SZ,,latest_peak,20190404,23.9,20221004,7.169999999999999,2025-03-26 00:49:48
300782.SZ,,latest_peak,20210423,739.31,20241023,221.79299999999998,2025-03-26 00:50:59
000625.SZ,,latest_peak,20210625,26.44,20241225,7.932,2025-03-26 00:41:01
002027.SZ,,latest_peak,20151218,52.57,20190618,15.770999999999999,2025-03-26 00:40:56
300759.SZ,,latest_peak,20211126,190.18,20250526,57.054,2025-03-26 00:51:40
000002.SZ,,latest_peak,20180223,34.72,20210823,10.415999999999999,2025-03-26 00:42:04
000786.SZ,,latest_peak,20210604,48.36,20241204,14.508,2025-03-26 00:51:29
601166.SH,,latest_peak,20220211,22.99,20250811,6.896999999999999,2025-03-26 00:43:49
600027.SH,,latest_peak,20150814,9.19,20190214,2.7569999999999997,2025-03-26 00:48:11
